,0
138," Right now, some talented teachers choose to leave the classroom to make more money as an administrator"
139, Oklahoma students can’t be the best without the best teachers
140, That’s why I’m proposing matching funds so that our best teachers can make six figure salaries and stay in the classroom
141, It’s the right thing to do for our teachers and for our kids! Another way to support Oklahoma educators is to protect their paychecks from union bosses
142, The same unions that have pushed critical race theory and school closures intimidate new teachers into handing over part of their salaries
143, Liberal unions want to keep a stranglehold on their cut of teacher pay
144, Enough is enough! Every other profession lets you opt-in to health insurance and other benefits at work every year
145," Unions should be opt-in, not opt-out! The second checkpoint on our road to Top Ten is protecting Oklahomans and our way of life"
146," As elected officials, this is one of our most important duties"
147, We can’t do that if we don’t focus on securing fairness and safety in the Medical Marijuana industry
148," To the citizens of rural Oklahoma, I hear you"
149," This is causing major problems in our communities, and we must get it under control"
150,"  6 Full text version When Oklahomans voted for Medical Marijuana, they were sold a bill of goods"
151," The state question was misleading, and it has tied our hands as we regulate the industry"
152," Because of that state question, Oklahoma charges just $2500 for a commercial license"
153," Even California charges up to $181,000 – 72 times more! As a result, we have 7 times the growers than California with just 10% of the people"
154," Next door in Arkansas, they have 8 growers"
155," We have 8,300"
156, You know as well as I do that not all of that product is being sold legally
157," This is a perfect example why we need to make sure initiative petitions represent Oklahomans, not out-of-state special interest groups"
158, Oklahomans deserve to know the details before voting to change our constitution
159," While we can’t change the past, we can learn from it and improve our future"
160, We are getting the right leaders in place and untying their hands to enforce the laws
161,  I’ve directed our law enforcement to crack down hard on the black market
162, Agents have been in the field making arrests
163," Let me be clear: drug cartels, organized crime and foreign bad actors have no place in Oklahoma"
164," We will find them, and we will bring them to justice! Oklahoma is a proud law and order state"
165," As other states and cities are still defunding their police, we have a chance to stand apart"
166, Brave men and women who put their lives on the line deserve leaders who will have their back
167, Now is the time to transform and modernize our state law enforcement system into the nation’s best
168," To do this, we need to tackle four critical areas: the recruitment, retention, health and training of our troopers, agents and investigators"
169," First, we must protect our officers"
170,  Mental health does not discriminate
171, Depression and suicide do not discriminate
172," It’s long overdue, but this year we must prioritize the health of our officers and  create the Oklahoma First Responders Wellness Division"
173, Its foundation is a peer to peer system designed to recognize the early signs of trauma and give immediate help to officers who need it
174, This could have saved Ronald Hook
175,   7 Full text version The continued trauma he experienced as an officer seemingly went unnoticed and unaddressed
176,"  After 15 years of dedicated service in law enforcement, this family man, husband, father and friend, tragically ended his life"
177,"  Ron’s daughter Alisha, and his sisters, Sissy and Suzy, are here today"
178, They support creating this wellness division so other officers and their families won’t experience the same tragedy
179,"  Alisha, Sissy and Suzy, I am so sorry for the loss of your dad and brother"
180, Thank you for being here
181," In the same way we can attract and support teachers, we need to provide law enforcement officers competitive pay, the best training available, and more career options"
182, I’m requesting that we pool our resources and build a joint statewide training facility
183, Officers put their lives on the line every single day
184, The least we could do in return is provide them with the highest quality training
185," Our state’s law enforcement also desperately needs a consolidated, unified command structure within a single department"
186, 43 other states have this
187, Oklahoma should be no different
188, A unified command will create the career growth opportunities that today’s recruits expect
189, I want to pause here and thank each one of our brave men and women in law enforcement who sacrifice each day to keep our communities safe
190," Other states may turn their backs on the blue, but as governor, I will always stand with those who protect and hold that thin blue line"
191, Our third Top Ten checkpoint is making Oklahoma the most business-friendly state in the nation
192, Last year’s pro-business policies are already paying dividends
193," Canoo, an electric vehicle manufacturer, is a perfect example"
194," Last summer, Canoo announced it will open a factory in Pryor next year and bring 2,000 jobs to Oklahoma"
195," Canoo’s CEO, Tony Aquila, said he chose Oklahoma because he wants to be where the puck is going – not where it’s been"
196," Since Canoo’s initial announcement, it’s added a technology hub, software development, customer support and financing centers to Oklahoma"
197, That’s at least 700 more high-paying jobs for our state
198, Tony Aquila is here in the gallery today
199,"  8 Full text version Tony, thank you for believing in Oklahoma"
200, And for helping to pioneer the future of our state’s economy
201, Canoo is just one company that has seen the benefit of Oklahoma being open for business
202," Thanks to the Governor’s Closing Fund and the Legislature’s investment in business development, the Department of Commerce is coming off its best year ever"
203," Secretary of Commerce and Workforce Development Scott Mueller and his team are working hundreds of opportunities, thousands of jobs, and billions of dollars invested in our economy"
204, But “open for business” isn’t just about recruiting new companies
205,  We’ve launched an innovative platform to help Oklahoma manufacturers solve supply chain issues
206, Our system connects them to buyers and sellers and keeps their money in Oklahoma
207, More than 400 companies are already signed up
208," We are delivering on creating jobs and growing our economy, but we are at a critical junction when it comes to our state’s workforce"
209," Across the nation and here in our state, businesses are struggling to find the employees they need"
210," We need more nurses, more teachers, more engineers"
211, Tinker Air Force base is rapidly expanding
212," I met with the Secretary of the Air Force at the Pentagon because we expect to add 6-10,000 jobs there in the next five years"
213, Our state’s workforce needs to grow at the same pace as our businesses
214, That means we have to be bold
215, Our entire education system must be aligned and motivated to meet this challenge head on
216," Let’s tear down the silos between K-12, Career Techs and Higher Ed to train the next generation"
217, Every student needs to be college ready or career ready
218, I know we can do it
219, The road to success looks different for every Oklahoman
220," We’re all made in God’s image, and He has a unique plan for each of our lives"
221, That’s why we have to provide career paths to match the skills of our students with the jobs in our communities
222, Let’s increase apprenticeships in high school and pathways to jobs that don’t require a college degree
223,   9 Full text version Let’s align and leverage our system to train every Oklahoman with the skills they need to provide for their family
224," In the middle of a nursing shortage, our universities can’t be turning away qualified applicants like they are now"
225," Instead, we need to reward universities for producing graduates in critical areas"
226, Our state depends on it
227," Last year, while states like New York were billions of dollars in the hole, we cut taxes for every single Oklahoman"
228," We took care of the 300,000 working families being hit the hardest by increasing the Earned Income Tax Credit"
229," We can, and we should, do more for Oklahoma families"
230,  That’s why I’m proposing to eliminate the grocery tax
231," Oklahoma is one of just 13 states that taxes groceries, and ours is one of the highest"
232, Many Oklahomans are already struggling under the weight of record inflation
233, Let’s give them more help this year
234," Because, after all, we need more taxpayers, not more taxes"
235, States across the country are continuing to cut taxes on their citizens
236,   Nine states don’t charge a personal income tax
237," Many others are racing to join them, and we can’t be left behind"
238, My vision is to create a taxpayer protection plan that responsibly lowers income taxes according to our state revenue
239, Cutting taxes based on how our economy grows ensures we’ll always have money to pay for core services like education and roads and bridges
240,"As our economy grows, Oklahomans share in our success by keeping more of their hard-earned money"
241, I look forward to working with the Legislature to modernize our tax code this session
242, Another way to do that is to get rid of the income tax on military retirement benefits
243," Our military installations are so important to our state, and we want to keep our retired veterans here in Oklahoma"
244, It’s a commonsense way to support those who defend our freedoms
245, Let’s get it done
246," The fourth, and final, checkpoint on the road to Top Ten is delivering taxpayers more for their money"
247,"  10 Full text version This requires strategic investments in modernizing government agencies, transparency, building our savings account, and infrastructure"
248, Oklahomans hired me as Governor because they wanted their government to run more like a business
249," From day one, I’ve challenged my agency heads to deliver taxpayers more for their money"
250," We’re doing it by making agencies more effective and responsive to our citizens, not by growing government"
251," We have 2,000 fewer state employees than just a few years ago, and we’ve invested into technology to provide better results"
252," In May, we’ll launch a unified, cutting-edge human resources system for all state agencies for the first time in history"
253," In the past year, too many Oklahomans had to wait too long to get a driver’s license"
254, Basic services that should have taken a few minutes were taking days or even months
255, This is unacceptable
256, We can’t let it happen again
257, That’s why I’m calling for the Legislature to partner with me to make it easier than ever for Oklahomans to interact with state government
258," Let’s start with drivers’ licenses and vehicle registration, because that’s something we can all agree needs to be fixed"
259, There’s not a business in the world that measures success based on how much it spends
260, Government should be no different
261," I want to thank this Legislature for its commitment to transparency, especially in education"
262," Last year, I worked with 22 state lawmakers to request the first-ever comprehensive audit of the Oklahoma State Department of Education, because tax dollars belong in the classrooms, not in the pockets of bureaucrats! There are no rubber stamps and blank checks on my watch"
263, That’s why we’re launching a new budgeting process for our agencies
264, It’s called Transparent Oklahoma Performance
265, You can track our progress online at top
266,ok
267,gov
268, I will keep shining a light to protect the taxpayers and hold our government accountable! I want to also applaud the Legislature for prioritizing saving over spending
269," Today, we have the largest savings account in state history at over $2 billion! This year, I’m asking the Legislature to raise the cap on our savings account to continue protecting our future"
270,    11 Full text version This would give us financial security and the ability to make strategic investments like never before
271, One of the ways we can make a generational impact is by investing in infrastructure
272, Secretary of Transportation Tim Gatz has taken this challenge head on
273," Across the state, we’re improving pavement and safety on urban and rural highways"
274, We’ve made it to Top Ten in bridges
275, A major project at I-235 and I-44 in Oklahoma City is almost finished
276," We’ve made great progress, but more can be done"
277, The future of our economy will depend on having a modern highway system that manages congestion and has reliable travel times
278, Let’s be bold
279, I’m calling to invest $13 billion in transportation over the next 10 years
280, This will let us close the loops around Oklahoma City and Tulsa
281, We’ll widen the Turner to 6 lanes the entire way
282, We’ll expand the Will Rogers in Northeast Oklahoma and parts of the Kilpatrick in Oklahoma City
283, We’re also adding more access points for communities along our system
284, This will make travel easier and lead to more economic development across the state
285, Here’s an example: the Kickapoo Turnpike has been open east of Oklahoma City for a year now
286, It’s created an economic explosion for the city of Harrah
287," In the last year, more than 2,200 new homes have started construction"
288," Harrah’s first hotel opened in November, and the city estimates its population will almost double in three or four years"
289, We have an opportunity to bring that kind of growth to more cities across our state
290, We’ll announce more details – including drone corridors and emerging mobility -- later this month
291, This is our moment to make Oklahoma’s transportation system the best in the nation! Infrastructure is not the only place we can make a generational impact
292, The opportunities this year are endless
293," Will we prioritize special interests or the people we serve? Will we prioritize the next generation or the next election? Now is the time for big, bold decisions"
294, Let’s leave a legacy for generations
295,"  As I begin the final year of my first term as governor, let’s look back at the progress we’ve made"
296," When my administration took office, Oklahoma was coming off two years of revenue failures"
297,"  12 Full text version We had almost no money in savings, which meant budget cuts were an annual challenge"
298," State agencies reported to unelected bureaucrats, and they weren’t being held accountable"
299, It was so out of control that the Department of Corrections wanted a billion dollar budget increase!  Our state was reeling from a teacher walkout
300," And on a personal level, I felt our state lacked the confidence and pride I saw in other parts of the country"
301," Because of our great work together, Oklahoma’s turnaround is well underway"
302, Our fiscal house is in order
303, We’re coming off a year where we made record investments in education while still cutting taxes
304, We’re fourth in the nation in budget reserves
305, Our state’s credit rating has gone up
306, We’ve held state agencies accountable by putting the right leaders in place and aligning them with a common vision
307, Oklahomans have a renewed sense of pride in our state and our way of life
308," Thousands of people across the country have said, “sign me up!” But to get to Top Ten, we can’t be satisfied with the status quo"
309," Jim Collins wrote in his book Good to Great, “good is the enemy of great"
310,”  Will Rogers put it another way: “the road to success is dotted with many tempting parking spaces
311,"” Oklahoma has all the bones and the capabilities to be the greatest state in the nation, and we’ve come too far to settle for anything less than our best"
312, We must never lose sight of the fact that Oklahomans elected us as leaders
313, They sent us here to protect their rights and to make sure everyone in our state has equal opportunity to succeed
314," Just because your life is fine, or your school is great, or your business is thriving, doesn’t mean we don’t have an obligation to make sure everyone has that same chance"
315," We’re all here because we have a higher calling to do what’s right, not what’s easy"
316," I truly believe Oklahoma can be, and will be, a Top Ten state"
317," Let’s work together, and let’s get it done"
318,"  13 Full text version I’m so proud to be an American, but I thank God every day that I’m an Oklahoman! God bless you"
319,   14 
