,0
180,   It’s also way past time to make sure every home and business is connected to the internet
181,"    Currently, close to 11,600 Delaware homes and businesses lack access to high-speed broadband"
182,"   Delawareans rely on stable internet connections to apply for jobs, help their children do homework, work from home, or continue their education online"
183,   We’re investing over $100 million in federal money to make sure everyone has access to a hardwired connection
184, Mostly in Kent and Sussex counties
185,  We also continue to tackle the epidemic of substance abuse statewide
186, Our Lieutenant Governor’s leadership of the Behavioral Health Consortium is having a real impact
187,"   Despite the national rise in overdose rates during COVID, Delaware was one of only four states to see a decrease in the rate of overdose deaths"
188,   The Lieutenant Governor will continue to be a driving force to ensure access to treatment and prevention
189,"   I also want to take this opportunity to thank my wife, Tracey, for her support during this challenging time"
190, And for her relentless advocacy on behalf of children across our state
191,    9  As Prepared for Delivery   She always reminds me how much children have sacrificed through this pandemic to keep their families and communities safe
192,"   Through her First Chance Delaware initiative, Tracey has put a spotlight on issues facing children and has shown the value of working together"
193,   Through Trauma Matters Delaware – and in partnership with Casey Family Programs – Tracey is tackling the effects of trauma on Delaware children and families
194,"   Tracey has also partnered with the Food Bank of Delaware, which has stepped up time and again during this pandemic"
195," I’d like to thank the Food Bank, its workers, and volunteers for their incredible work"
196,   Probably our most popular statewide initiative this year has been Tracey’s work with the Dolly Parton Imagination Library
197, Everybody loves Dolly
198,   This program provides free books to children – enrolling newborns before they leave the hospital – and helps families build libraries that can last generations
199,   Please join me in thanking Tracey for her work
200,   Let me be clear about this point – and you won’t be surprised to hear it
201,"   We can’t make investments in public education – or infrastructure, or public safety - without a long-term, sustainable financial plan"
202,   Responsibly managing our state budget is more important than ever
203,   And it’s what every taxpayer I’ve ever talked to expects
204,"   Over the past five years, we have worked hard – and worked together – to get our state budget in order"
205," I’d like to thank members of the JFC – and your chairs, Senator Paradee and Representative Carson – for your work"
206,    We have built significant new reserves and directed one-time revenue into one-time infrastructure projects
207,"   We made it through the worst of the pandemic better than most states:   •  WITHOUT painful budget cuts,  •  WITHOUT tax increases,  •  and WITHOUT layoffs of state employees"
208,"   10  As Prepared for Delivery    Next week, I will present a budget that stays true to these principles"
209,   We will again invest in our classrooms with the expansion of Opportunity Funding
210,  We will use one-time revenue to continue the largest infrastructure program in Delaware history
211,   We have a unique opportunity to make real progress on these issues not just because of our work here in Delaware
212,  But also because of the passage of President Biden’s Bipartisan Infrastructure bill
213,"   With these investments, we’ll strengthen our economy, expand opportunity, and support families as we finally emerge from this pandemic"
214,   And we’ll do it responsibly
215,"   As most of you know, I’ve served in government now in some capacity for nearly three decades"
216,    I’ve never seen a more challenging time
217,"     As I think about the past two years, and how it fits into the long history of our great state, I can’t help but think about the recent passing of Governor Ruth Ann Minner"
218,     Governor Minner did not have an easy time leading up to being governor
219, Or during her two terms wrestling with your predecessors over a laundry list of sticky issues
220,"     One thing you could count on with Ruth Ann, though, was when she faced a political issue or policy choice, she always approached it through the lens of: how it will affect people’s everyday lives"
221,"     And another thing you could count on, was that when she made a tough call – and she had to make many – she would stand by it"
222,"      Please join me in a round of applause to pay tribute to this remarkable leader – the first woman governor of Delaware   Throughout this pandemic, I’ve had to make a lot of tough calls"
223,   I know we’ve not always agreed on every decision
224, And I respect those differences
225,    But I hope you know this
226, I have always put Delawareans first
227,"    11  As Prepared for Delivery     Since the early days of March 2020, when I wake up each morning and when I go to sleep each night, I’m thinking about the health of our people"
228, And about the businesses that employ them
229,     I know this has been a difficult time
230,     But Delawareans have proven their resilience
231,"   Every time they’ve been knocked down, they get back up"
232,"    As a result, unemployment is down"
233, Children are back in school
234, Small businesses survived
235, And we are supercharging our economy with federal resources
236,   So my message today is this: We will come through this crisis
237," And when we do, we’ll be ready as a state to move forward – together"
238,"   It is my sincere hope that when I stand before you next year, the pandemic will be firmly in the rearview mirror"
239," But the last two years have taught me that whatever happens, our state will rise to the occasion"
240,    Thank you very much
241,"   God Bless you, and God Bless our great State"
242,  12 
